Module Code,Title,Credits
MG3023,COMMUNICATION AND INTERPERSONAL SKILLS ,6
MG3024,STRATEGIC MANAGEMENT ,6
MG3031,MANAGEMENT - CONTEXT AND PROCESS ,6
MG3033,MANAGING PROJECTS AND RESOURCES ,6
MG3034,MANAGING CHANGE ,6
MG3041,QUALITY MANAGEMENT ,6
MG3042,COURSE PROJECT 2 ,6
MG3043,COURSE PROJECT B ,6
MG3051,PROJECT 1 (DIP IN HEALTH SERVICES MGT) ,6
MG3052,LEADERSHIP ,6
MG3061,MANAGING IN THE HEALTH SECTOR ,6
MG3062,TEAM DYNAMICS AND EFFECTIVENESS ,6
MG3071,GENERAL MANAGEMENT PRINCIPLES ,9
MG3072,MANAGING PERFORMANCE ,6
MG3081,SUPPLY CHAIN MANAGEMENT ,6
MG3082,HEALTH SERVICES MANAGEMENT ,6
MG3091,OPERATIONS MANAGEMENT ,6
MG3092,PROJECT 2 (DIP IN HEALTH SERVICES MGT) ,6
MG3111,ENVIRONMENTAL MANAGEMENT ,6
MG3121,COMMERICAL MANAGEMENT ,6
MG3131,DEMAND MANAGEMENT PROCESSES ,6
MG3500,PROJECT (HEALTH SERVICES) ,6
MG3501,HEALTH SERVICES MANGEMENT 1 ,6
MG3502,HEALTH SERVICES MANAGEMENT II ,6
MG3511,SOCIAL ADMINISTRATION ,6
MG3512,HEALTH SECTOR FINANCE ,6
MG3521,MANAGEMENT INFORMATION SYSTEMS (HS) ,6
MG3522,PROJECT MANGEMENT (HEALTH SERVICES) ,6
MG3531,RESEARCH AND COMMUNICATION ,6
MG3600,PROJECT III ,6
MG3601,HUMAN RESOURCE DEVELOPMENT ,6
MG3602,MANAGEMENT OF CHANGE ,6
MG3611,ORGANISATIONAL BEHAVIOUR 1 ,6
MG3612,ORGANISATIONAL BEHAVIOUR II ,6
MG3621,PROJECT MANAGEMENT ,6
MG3622,HUMAN RESOURCE MANAGEMENT AND DEVELOPMENT ,6
MG3631,PROJECT 1 ,6
MG3632,MANAGEMENT INFORMATION SYSTEMS ,6
MG3641,MANAGEMENT ,6
MG3642,PROJECT II ,6
MG3652,STRATEGIC MANAGEMENT ,6
MG4000,BUSINESS TOOLS FOR SOCIAL PROJECTS ,6
MG4001,Information Management ,9
MG4002,Project Management ,9
MG4003,Financial Reporting and Analysis ,9
MG4004,Human Resource Management ,9
MG4006,Research Methods ,9
MG4007,Comparative Public Management ,6
MG4008,Performance Management ,9
MG4011,Health Care Management 1 ,9
MG4012,Health Care Management 2 ,9
MG4013,Microeconomics ,9
MG4014,Macroeconomics ,9
MG4021,Management Theory and Practice ,9
MG4022,Organisational Behaviour ,9
MG4027,Project 1 ,12
MG4028,Project 2 ,12
MG4031,MANAGEMENT PRINCIPLES ,6
MG4032,PROBLEM BASED LEARNING (PBL) FOR BUSINESS ,6
MG4033,SKILLS PORTFOLIO (SUPPLY CHAIN OPERATIONS) ,3
MG4035,INTERNATIONAL MANAGEMENT ,6
MG4037,STRATEGIC MANAGEMENT ,6
MG4038,SUSTAINABLE DEVELOPMENT ,6
MG4041,PRINCIPLES OF INVENTORY MANAGEMENT ,6
MG4042,PRINCIPLES OF MANAGING OPERATIONS ,6
MG4043,SUPPLY CHAIN RISK ASSESSMENT AND FORECASTING ,6
MG4045,CHANGE MANAGEMENT ,6
MG4047,KNOWLEDGE MANAGEMENT ,6
MG4048,CONTEMPORARY MANAGEMENT PRACTICE ,6
MG4051,PRINCIPLES OF OPERATION PLANNING ,6
MG4052,PRINCIPLES OF DISTRIBUTIONS AND LOGISTICS ,6
MG4057,CONTEMPORARY PUBLIC SECTOR MANAGEMENT ,9
MG4058,MANAGEMENT CONSULTING ,6
MG4061,PRINCIPLES OF MANUFACTURING MANAGEMENT ,6
MG4062,TRANSPORT AND LOGISTICS ,6
MG4067,MANAGEMENT IN EXERCISE AND HEALTH FITNESS ,6
MG4181,SUPPLY CHAIN RISK ASSESSMENT AND FORECASTING ,6
MG4201,DEVELOPING SKILLS IN REFLECTIVE PRACTICE ,6
MG4211,WORKPLACE COMMUNICATIONS ,6
MG4221,DECISION-MAKING IN THE WORKPLACE ,6
MG4231,WORKPLACE OPPORTUNITY ANALYSES ,6
MG4408,STRATEGIC MANAGEMENT ,6
MG4604,AIR TRANSPORTATION ,6
MG4901,MANAGEMENT PRINCIPLES ,6
MG4903,COMMUNICATIONS FOR BUSINESS ,6
MG4904,MANAGING IN THE HEALTH SERVICES ,3
MG4905,REFLECTIVE MANAGEMENT ,9
MG4906,MANAGERIAL BEHAVIOUR AND EFFECTIVENESS ,9
MG4907,INTERNATIONAL MANAGEMENT ,6
MG4908,STRATEGIC MANAGEMENT ,6
MG4914,INTEGRATED CASE-BASED WORKSHOP ,6
MG4915,MANAGEMENT COMMUNICATION AND NEGOTIATION ,9
MG4916,MANAGEMENT CONTROL AND POWER ,9
MG4917,SUPPLY CHAIN MANAGEMENT AND CUSTOMER ,9
MG4918,STRATEGIC MANAGEMENT ,9
MG4925,INTERNATIONAL CONTEXT OF MANAGEMENT ,9
MG4926,MANAGEMENT SKILLS - MOTIVATION AND TEAMWORK ,3
MG4927,CROSS CULTURAL MANAGEMENT ,9
MG4928,ORGANISATIONAL PERFORMANCE AND EFFECTIVENESS ,9
MG4935,MANAGEMENT SKILLS - PERSONNEL AWARENESS AND ,3
MG4937,MANAGEMENT PROJECT - PLANNING TECHNIQUES AND ,3
MG4938,MANAGEMENT PROJECT - IMPLEMENTATION AND REVIEW ,3
MG4947,TRANSFORMATIONAL PERSONAL AND PROFESSIONAL ,3
MG4948,TRANSFORMATIONAL PERSONAL AND PROFESSIONAL ,3
MG5001,THE CHALLENGE OF LEADING ,9
MG5002,CHANGE AND ORGANISATIONAL TRANSFORMATION ,9
